"name","norad_id","launch_date","decay_date","time_days","event","end_date","activity_snapshot","launch_site","orbit_center","orbit_class","orbit_type","object_type","owner","country_owner","users","purpose","launch_vehicle","perigee","apogee","inclination","period","mass","expected_lifetime","expected_lifetime_missing"
"OSCAR 7 (AO-7)",7530,1974-11-15,NA,17699,0,2023-05-01,"active","AFWTR","EA","LEO","Polar","PAY","US","USA","Civil","Communications","Delta 2310",1440,"1459",101.4,114.9,29,4,1
"TDRS 3",19548,1988-09-29,NA,12632,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government","Communications","Space Shuttle (STS 26)",35693,"35878",11.53,1436.06,3180,10,0
"FLTSATCOM 8 (USA 46)",20253,1989-09-25,NA,12271,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas Centaur",35745,"35829",8.97,1436.13,2310,5,0
"HST",20580,1990-04-24,NA,12060,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","ESA","Government","Space Science","Space Shuttle (STS 31)",555,"559",28.5,95.8,11110,10,0
"SKYNET 4C",20776,1990-08-30,NA,11932,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","UK","United Kingdom","Military","Communications","Ariane 44LP",35785,"35787",13.6,1436.07,1474,7,0
"TDRS 5",21639,1991-08-02,NA,11595,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government/Commercial","Communications","Space Shuttle (STS 43)",35773,"35796",9.4,1436.99,3180,10,0
"TDRS 6",22314,1993-01-13,NA,11065,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government/Commercial","Communications","Space Shuttle (STS 54)",35773,"35787",8.74,1435.7,3180,10,0
"UFO 2 (USA 95)",22787,1993-09-03,NA,10832,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 2",35766,"35807",8.27,1436.12,3200,4,1
"USA 99 (MILSTAR-1 1)",22988,1994-02-07,NA,10675,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Titan 4A",35754,"35819",5.99,1436.13,4536,10,0
"USA 105",23223,1994-08-27,NA,10474,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVA",35598,"35976",5.1,1436.13,8000,4,1
"UFO 4 (USA 108)",23467,1995-01-29,NA,10319,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 2",35763,"35775",3.34,1435.22,3200,4,0
"TDRS 7",23613,1995-07-13,NA,10154,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government","Communications","Space Shuttle (STS 70)",35767,"35803",10.6,1436.04,3180,10,0
"USA 118",23855,1996-04-24,NA,9868,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVA",33674,"37900",7.33,1436.12,8000,4,1
"USA 119",23893,1996-05-12,NA,9850,0,2023-05-01,"active","AFWTR","EA","Elliptical","Molniya","PAY","US","USA","Military","Communications","Titan IV",1200,"11600",63.4,240,260,4,1
"INMARSAT 3-F3",24674,1996-12-18,NA,9630,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","IM","United Kingdom","Commercial","Communications","Atlas",35761,"35810",0.09,1436.07,2074,13,0
"NAVSTAR 43 (USA 132)",24876,1997-07-23,NA,9413,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20123,"20247",54.9,718.09,2217,10,0
"FORTE",24920,1997-08-29,NA,9376,0,2023-05-01,"active","WRAS","EA","LEO","Polar","PAY","US","USA","Government","Earth Observation","Pegasus XL",790,"823",70,101,215,3,0
"AMC-3",24936,1997-09-04,NA,9370,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","SES","USA","Commercial","Communications","Atlas 2AS",35777,"35795",0.02,1436.08,2845,15,0
"USA 134",25019,1997-10-25,NA,9319,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Delta 4",35757,"35817",2.54,1436.1,1156,10,0
"USA 136",25034,1997-11-08,NA,9305,0,2023-05-01,"active","AFETR","EA","Elliptical","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVA",1210,"38740",64.7,709.61,8000,4,1
"ORBCOMM FM06",25118,1997-12-23,NA,9260,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus",772,"774",45,100.3,45,5,0
"INMARSAT 3-F5",25153,1998-02-04,NA,9217,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","IM","United Kingdom","Commercial","Communications","Ariane 44L",35769,"35803",0.04,1436.07,2000,13,0
"ORBCOMM FM04",25159,1998-02-10,NA,9211,0,2023-05-01,"active","AFWTR","EA","LEO","Polar","PAY","ORB","USA","Commercial","Communications","Taurus",768,"838",108,100.9,45,5,0
"USA 139",25336,1998-05-09,NA,9123,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVA",35560,"36013",7.72,1436.14,5200,4,1
"ORBCOMM FM19",25415,1998-08-02,NA,9038,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus XL",788,"795",45,100.7,45,5,0
"ORBCOMM FM20",25416,1998-08-02,NA,9038,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus XL",791,"792",45,100.7,45,5,0
"ORBCOMM FM27",25481,1998-09-23,NA,8986,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus",790,"792",45,100.7,45,5,0
"SCD 2",25504,1998-10-23,NA,8956,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","BRAZ","Brazil","Government","Earth Observation","Pegasus",735,"760",25,99.8,110,3,0
"ISS (ZARYA)",25544,1998-11-20,NA,8928,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","ISS","Multinational","Government","Space Science","Proton",401,"422",51.6,92.8,260,30,0
"DLR-TUBSAT",25757,1999-05-26,NA,8741,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","GER","Germany","Government","Earth Science","PSLV C2",712,"732",98.6,99.2,45,1,0
"CXO",25867,1999-07-23,NA,8683,0,2023-05-01,"active","AFETR","EA","Elliptical","Deep Highly Eccentric","PAY","US","USA","Government","Space Science","Space Shuttle (STS 93)",9999,"138825",28.5,3808.92,4742,5,0
"ABS-6",25924,1999-09-26,NA,8618,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","ABS","Multinational","Commercial","Communications","Proton",35777,"35794",0.01,1436.08,2894,15,0
"NAVSTAR 46 (USA 145)",25933,1999-10-07,NA,8607,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20096,"20268",53,717.97,2217,10,0
"UFO 10 (USA 146)",25967,1999-11-23,NA,8560,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 2",35738,"35834",1.97,1436.1,3200,4,0
"ORBCOMM FM32",25982,1999-12-04,NA,8549,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus XL",786,"796",45,100.7,45,5,0
"XMM-NEWTON",25989,1999-12-10,NA,8543,0,2023-05-01,"active","FRGUI","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Ariane 5",7079,"114027",38.4,2872.15,3764,10,0
"TERRA",25994,1999-12-18,NA,8535,0,2023-05-01,"active","AFWTR","EA","LEO","Sun-Synchronous","PAY","US","USA/Canada/Japan","Government","Earth Observation","Atlas 2AS",702,"703",98.2,98.8,4854,6,0
"ASIASTAR",26107,2000-03-21,NA,8441,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","US","USA","Commercial","Communications","Ariane 5G",35773,"35801",0.02,1436.15,2775,15,0
"USA 149 (DSP 20)",26356,2000-05-08,NA,8393,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVB",35897,"35909",4.08,142.08,2380,9,0
"TDRS 8",26388,2000-06-30,NA,8340,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government","Communications","Atlas 2A",35768,"35808",0.9,1436.2,3180,11,0
"NAVSTAR 48 (USA 151)",26407,2000-07-16,NA,8324,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20184,"20427",55,722.98,2217,10,0
"CLUSTER II-FM7 (SAMBA)",26410,2000-07-16,NA,8324,0,2023-05-01,"active","TYMSC","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Soyuz",21998,"110256",90.7,3418.2,1200,4,0
"CLUSTER II-FM6 (SALSA)",26411,2000-07-16,2024-09-08,8324,0,2023-05-01,"active","TYMSC","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Soyuz",22017,"110791",132.98,3430.28,1200,4,0
"CLUSTER II-FM5 (RUMBA)",26463,2000-08-09,2025-10-22,8300,0,2023-05-01,"active","TYMSC","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Soyuz",17240,"120715",90.8,3431.1,1200,4,0
"CLUSTER II-FM8 (TANGO)",26464,2000-08-09,NA,8300,0,2023-05-01,"active","TYMSC","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Soyuz",17313,"120961",90.7,3442,1200,4,0
"USA 152",26473,2000-08-17,NA,8292,0,2023-05-01,"active","AFWTR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Military","Earth Observation","Titan IV",574,"676",68,97.21,14500,9,0
"NSS-11",26554,2000-10-01,NA,8247,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","SES","Netherlands","Commercial","Communications","Proton K",35776,"35798",0.07,1436.15,3582,15,0
"USA 153",26575,2000-10-20,NA,8228,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 2A",35774,"35799",0.04,1436.12,1156,10,0
"AMC-6",26580,2000-10-21,NA,8227,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","SES","USA","Commercial","Communications","Proton K",35778,"35795",0.05,1436.12,3901,15,0
"NAVSTAR 49 (USA 154)",26605,2000-11-10,NA,8207,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20177,"20498",55,724.28,2217,10,0
"ODIN",26702,2001-02-20,NA,8105,0,2023-05-01,"active","SVOBO","EA","LEO","Sun-Synchronous","PAY","SWED","Sweden","Government","Earth Observation","Start 1",569,"573",97.6,96.1,250,2,0
"USA 157 (MILSTAR-2 2)",26715,2001-02-27,NA,8098,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Titan 4B",35764,"35768",4.5,1435.04,4536,12,0
"USA 159 (DSP 21)",26880,2001-08-06,NA,7938,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan 4B",35765,"35810",3.68,1436.14,2380,9,0
"INTELSAT 902 (IS-902)",26900,2001-08-30,NA,7914,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Ariane 44L",35775,"35797",0.02,1436.1,4723,13,0
"PROBA-1",26958,2001-10-22,NA,7861,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","ESA","ESA","Government","Technology Demonstration","PSLV C3",553,"676",97.9,96.98,100,2,0
"BIRD 2",26959,2001-10-22,2023-10-11,7861,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","GER","Germany","Government/Civil","Earth Observation/Technology Development","PSLV C3",500,"521",97.9,94.8,92,1.5,0
"TIMED",26998,2001-12-07,NA,7815,0,2023-05-01,"active","AFWTR","EA","LEO","Polar","PAY","US","USA","Government/Civil","Space Science","Delta 2",612,"613",74.1,97,587,2,0
"MAROC-TUBSAT",27004,2001-12-10,NA,7812,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","GER","Morocco/Germany","Government","Technology Development","Zenit",984,"1014",99.2,105.1,47,3,0
"COSMOS 2385",27056,2001-12-28,NA,7794,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Tsyklon 3",1417,"1425",82.5,114.2,225,3,0
"COSMOS 2386",27057,2001-12-28,NA,7794,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Tsyklon 3",1415,"1419",82.5,114.2,225,3,0
"USA 164 (MILSTAR-2 3)",27168,2002-01-16,NA,7775,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Titan 4B",35753,"35820",3.45,1436.12,4536,12,0
"INTELSAT 904 (IS-904)",27380,2002-02-23,NA,7737,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Proton K",35782,"35789",0.01,1436.07,4680,13,0
"AQUA",27424,2002-05-04,NA,7667,0,2023-05-01,"active","AFWTR","EA","LEO","Sun-Synchronous","PAY","US","USA/Japan/Brazil","Government","Earth Observation","Delta",701,"704",98.2,98.8,2934,6,0
"DIRECTV 5 (TEMPO 1)",27426,2002-05-07,NA,7664,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","US","USA","Commercial","Communications","Proton K",35773,"35799",0.07,1436.08,4300,15,0
"OFEQ 5",27434,2002-05-28,2024-02-21,7643,0,2023-05-01,"active","YAVNE","EA","LEO","Non-Polar Inclined","PAY","ISRA","Israel","Military","Earth Observation","Shavit",367,"764",143.4,95.97,300,4,0
"INTELSAT 905 (IS-905)",27438,2002-06-05,NA,7635,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Ariane 44L",35768,"35805",0.01,1436.12,4723,13,0
"GALAXY 3C (G-3C)",27445,2002-06-15,NA,7625,0,2023-05-01,"active","SEAL","EA","GEO","Unknown","PAY","US","USA","Commercial","Communications","Zenit 3SL",35784,"35788",0.01,1436.11,4860,15,0
"COSMOS 2390",27464,2002-07-08,NA,7602,0,2023-05-01,"active","PLMSC","EA","LEO","Equatorial","PAY","CIS","Russia","Military","Communications","Kosmos 3M",1468,"1506",8.5,115.7,225,3,0
"COSMOS 2391",27465,2002-07-08,NA,7602,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Kosmos 3M",1466,"1506",82.5,115.7,225,3,0
"INTELSAT 906 (IS-906)",27513,2002-09-06,NA,7542,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Ariane 44L",35775,"35796",0.01,1436.07,4723,13,0
"LATINSAT B",27606,2002-12-20,NA,7437,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","ARGN","Argentina","Commercial","Communications","Dnepr",603,"717",64.6,97.9,260,4,1
"SAUDISAT 1C (SO-50)",27607,2002-12-20,NA,7437,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","SAUD","Saudi Arabia","Government","Communications","Dnepr",603,"702",64.6,97.8,10,4,1
"LATINSAT A",27612,2002-12-20,NA,7437,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","ARGN","Argentina","Commercial","Communications","Dnepr",610,"668",64.6,97.5,260,4,1
"CORIOLIS",27640,2003-01-06,NA,7420,0,2023-05-01,"active","AFWTR","EA","LEO","Sun-Synchronous","PAY","US","USA","Military","Earth Observation","Titan 2",820,"841",98.8,101.5,817,3,0
"SORCE",27651,2003-01-25,NA,7401,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","US","USA","Government/Civil","Space Science","Pegasus XL",600,"633",40,97,315,6,0
"NAVSTAR 51 (USA 166)",27663,2003-01-29,NA,7397,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20155,"20344",55,720.71,2217,10,0
"USA 167",27691,2003-03-11,NA,7356,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 2A",35771,"35802",0.03,1436.12,1156,10,0
"NAVSTAR 52 (USA 168)",27704,2003-03-31,NA,7336,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20063,"20433",54.9,720.65,2217,10,0
"USA 169 (MILSTAR-2 4)",27711,2003-04-08,NA,7328,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Titan 4B",35768,"35806",0.82,1436.13,4536,12,0
"HELLAS-SAT 2",27811,2003-05-13,NA,7293,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","GREC","Greece","Commercial","Communications","Atlas 5",35769,"35803",0.01,1436.08,3300,15,0
"THURAYA-2",27825,2003-06-10,NA,7265,0,2023-05-01,"active","SEAL","EA","GEO","Unknown","PAY","UAE","United Arab Emirates","Commercial","Communications","Zenit 3SL",35764,"35807",2.99,1436.07,5250,12,0
"OPTUS C1",27831,2003-06-11,NA,7264,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","AUS","Australia","Military/Commercial","Communications","Ariane 5G",35773,"35799",0.02,1436.08,4800,15,0
"MOST",27843,2003-06-30,NA,7245,0,2023-05-01,"active","PLMSC","EA","LEO","Sun-Synchronous","PAY","CA","Canada","Government","Space Science","Rokot",817,"832",98.7,101.4,53,1,0
"CUBESAT XI-IV (CO-57)",27848,2003-06-30,NA,7245,0,2023-05-01,"active","PLMSC","EA","LEO","Sun-Synchronous","PAY","JPN","Japan","Civil","Technology Development","Dnepr",815,"830",98.7,101.3,260,4,1
"SCISAT 1",27858,2003-08-13,NA,7201,0,2023-05-01,"active","WRAS","EA","LEO","Polar","PAY","CA","Canada","Government","Space Science","Pegasus XL",638,"649",73.9,97.6,150,4,1
"COSMOS 2400",27868,2003-08-19,NA,7195,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Kosmos 3M",1467,"1503",82.5,115.7,225,3,0
"COSMOS 2401",27869,2003-08-19,NA,7195,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Kosmos 3M",1465,"1502",82.5,115.6,225,3,0
"USA 170",27875,2003-08-29,NA,7185,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Delta 4",35760,"35814",0.05,1436.1,1156,10,0
"USA 171",27937,2003-09-09,NA,7174,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IV",35589,"35984",3.2,1436.1,5200,4,1
"MOZHAETS 4 (RS22)",27939,2003-09-27,NA,7156,0,2023-05-01,"active","PLMSC","EA","LEO","Sun-Synchronous","PAY","CIS","Russia","Government/Civil","Technology Development","Kosmos 3M",669,"690",97.8,98.3,64,4,1
"GALAXY 13 (HORIZONS-1)",27954,2003-10-01,NA,7152,0,2023-05-01,"active","SEAL","EA","GEO","Unknown","PAY","US","USA/Japan","Commercial","Communications","Zenit 3",35781,"35790",0.01,1436.07,4060,15,0
"IRS-P6 (RESOURCESAT-1)",28051,2003-10-17,NA,7136,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","IND","India","Government","Earth Observation","PSLV C5",817,"823",98.8,101.3,1360,5,0
"DMSP 5D-3 F16 (USA 172)",28054,2003-10-18,NA,7135,0,2023-05-01,"active","AFWTR","EA","LEO","Sun-Synchronous","PAY","US","USA","Military","Earth Observation","Titan 2",843,"852",98.9,101.87,1154,5,0
"CHUANGXIN 1 (CX-1)",28058,2003-10-21,NA,7132,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Communications","Long March 3B",729,"748",98.5,99.6,100,4,1
"YAMAL 202",28089,2003-11-24,NA,7098,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","CIS","Russia","Commercial","Communications","Proton K",35774,"35796",0.04,1436.06,1320,12,0
"UFO 11 (USA 174)",28117,2003-12-18,NA,7074,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 3",35786,"35787",2.16,1436.1,3200,4,0
"USA 176 (DSP 22)",28158,2004-02-14,NA,7016,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan 4B",35741,"35832",1.41,1436.12,2380,9,0
"ABS-4 (MOBISAT-1)",28184,2004-03-13,NA,6988,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","ABS","Multinational","Commercial","Communications","Atlas 3",35780,"35793",0.01,1436.1,4143,12,0
"EUTELSAT 139 WEST A",28187,2004-03-15,NA,6986,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","EUTE","Multinational","Commercial","Communications","Proton M",35769,"35802",0.06,1436.07,4300,15,0
"NAVSTAR 54 (USA 177)",28190,2004-03-20,NA,6981,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20089,"20276",55,717.98,2217,10,0
"SHIYAN-1 (SY-1)",28220,2004-04-18,NA,6952,0,2023-05-01,"active","XICLF","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Earth Observation","Long March 2C",586,"601",97.5,96.6,204,4,1
"AMC-11",28252,2004-05-19,NA,6921,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","SES","USA","Commercial","Communications","Atlas 2AS",35774,"35797",0.04,1436.07,2340,15,0
"INTELSAT 10-02",28358,2004-06-16,NA,6893,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","ITSO","USA","Commercial","Communications","Proton",35783,"35789",0.02,1436.08,5576,13,0
"APRIZESAT 2",28366,2004-06-29,NA,6880,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","US","USA/Argentina","Commercial","Communications/Technology Development","Dnepr",694,"850",98.2,100.3,12,4,1
"SAUDICOMSAT 1",28369,2004-06-29,NA,6880,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","SAUD","Saudi Arabia","Commercial","Technology Development","Dnepr",697,"747",98,99.2,12,4,1
"SAUDICOMSAT 2",28370,2004-06-29,NA,6880,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","SAUD","Saudi Arabia","Commercial","Technology Development","Dnepr",696,"780",98.1,99.6,12,4,1
"SAUDISAT 2",28371,2004-06-29,NA,6880,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","SAUD","Saudi Arabia","Government","Earth Observation","Dnepr",696,"734",97.9,99.1,35,4,1
"APRIZESAT 1",28372,2004-06-29,NA,6880,0,2023-05-01,"active","TYMSC","EA","LEO","Sun-Synchronous","PAY","US","Argentina","Commercial","Communications/Technology Development","Dnepr",696,"764",98,99.4,12,4,1
"AURA",28376,2004-07-15,NA,6864,0,2023-05-01,"active","AFWTR","EA","LEO","Sun-Synchronous","PAY","US","USA","Government","Earth Observation","Delta 2",702,"703",98.2,98.8,2967,5,0
"ANIK F2",28378,2004-07-18,NA,6861,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","CA","Canada","Commercial","Communications","Ariane 5",35781,"35790",0.01,1436.08,5910,15,0
"USA 179",28384,2004-08-31,NA,6817,0,2023-05-01,"active","AFETR","EA","Elliptical","Molniya","PAY","US","USA","Military","Communications","Atlas 2AS",500,"39850",63.4,717.7,260,10,0
"SHIJIAN-6 01A (SJ-6 01A)",28413,2004-09-08,NA,6809,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Space Science","Long March 4B",579,"606",97.8,96.5,260,2,0
"SHIJIAN-6 01B (SJ-6 01B)",28414,2004-09-08,NA,6809,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Government","Space Science","Long March 4B",587,"598",97.8,96.5,260,2,0
"COSMOS 2408",28419,2004-09-23,NA,6794,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Kosmos 3M",1471,"1495",82.5,115.5,225,3,0
"COSMOS 2409",28420,2004-09-23,NA,6794,0,2023-05-01,"active","PLMSC","EA","LEO","Polar","PAY","CIS","Russia","Military","Communications","Kosmos 3M",1474,"1495",82.5,115.6,225,3,0
"AMC-15",28446,2004-10-14,NA,6773,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","SES","USA","Commercial","Communications","Proton M",35777,"35795",0.04,1436.08,4200,15,0
"JB-3 3 (ZY 2C)",28470,2004-11-06,NA,6750,0,2023-05-01,"active","TAISC","EA","LEO","Sun-Synchronous","PAY","PRC","China","Military","Earth Observation","Long March 4B",555,"606",97.2,96.3,260,5,0
"NAVSTAR 56 (USA 180)",28474,2004-11-06,NA,6750,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",19938,"20426",54.8,718,2217,10,0
"SWIFT",28485,2004-11-20,NA,6736,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA/United Kingdom/Italy","Government/Civil","Space Science","Delta 7320",551,"576",20.6,96.3,1463,7,0
"NANOSAT-1",28493,2004-12-18,NA,6708,0,2023-05-01,"active","FRGUI","EA","LEO","Sun-Synchronous","PAY","SPN","Spain","Government","Communications","Ariane 5G",654,"659",98.4,97.9,20,4,1
"NSS-10",28526,2005-02-03,NA,6661,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","SES","Netherlands","Commercial","Communications","Proton/Breeze M",35778,"35795",0.02,1436.1,5396,16,0
"USA 181",28537,2005-02-03,NA,6661,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Military","Earth Observation","Atlas 3B",1017,"1203",63.4,107.4,5000,4,1
"INMARSAT 4-F1",28628,2005-03-11,NA,6625,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","IM","United Kingdom","Commercial","Communications","Atlas 5",35772,"35799",2.3,1436.08,5959,15,0
"USA 182",28646,2005-04-30,NA,6575,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Military","Earth Observation","Titan 4B",713,"716",57.01,99.08,14500,9,0
"IRS-P5 (CARTOSAT-1)",28649,2005-05-05,NA,6570,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","IND","India","Government","Earth Observation","PSLV C6",618,"619",97.9,97.1,1560,6,0
"DIRECTV 8",28659,2005-05-22,NA,6553,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","US","USA","Commercial","Communications","Proton M/Breeze M",35777,"35796",0.02,1436.1,3800,12,0
